Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.741307399934158,None,h,0.7379655000986531,8.741307399934158,None,,,,,,,,,,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
d,l,media/ddnb.png,0,0,0,3,,,,,,,9.551154099986888,None,9.551154099986888,None,['h'],0,[0.7780403000069782],9.551154099986888,None,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
b,u,media/dbnb.png,0,1,1,1,,,,,,,10.364358399994671,None,10.364358399994671,None,['u'],0,[1.187039399985224],10.364358399994671,None,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
h,l,media/dhnb.png,0,2,2,7,,,,,,,11.585049499990419,None,11.585049499990419,None,['i'],0,[0.39186950004659593],11.585049499990419,None,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
g,i,media/dgnb.png,0,3,3,6,,,,,,,12.026488099945709,None,12.026488099945709,None,['l'],0,[0.22097179992124438],12.026488099945709,None,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
f,u,media/dfnb.png,0,4,4,5,,,,,,,12.277550400001928,None,12.277550400001928,None,['h'],0,[0.3699266000185162],12.277550400001928,None,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
c,i,media/dcnb.png,0,5,5,2,,,,,,,12.677729499991983,None,12.677729499991983,None,['u'],0,[0.18563979992177337],12.677729499991983,None,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
e,h,media/denb.png,0,6,6,4,,,,,,,12.89403740002308,None,12.89403740002308,None,['h'],0,[0.3216557999840006],12.89403740002308,None,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
a,h,media/danb.png,0,7,7,0,,,,,,,13.263388399966061,None,13.263388399966061,None,['h'],0,[0.1440054998965934],13.263388399966061,None,,001,2020_Jun_08_2157,Criterion,2020.1.3,60.326147265876486,
