Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
e,h,media/denb.png,3,2,26,4,,,,,,,26.757287599961273,None,26.757287599961273,None,['h'],0,[0.07562100002542138],26.757287599961273,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
a,h,media/danb.png,3,3,27,0,,,,,,,26.855367499985732,None,26.855367499985732,None,['u'],0,[0.15309320006053895],26.855367499985732,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
b,u,media/dbnb.png,3,4,28,1,,,,,,,27.045589299988933,None,27.045589299988933,None,['h'],0,[0.05930139997508377],27.045589299988933,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
g,i,media/dgnb.png,3,5,29,6,,,,,,,27.129236200009473,None,27.129236200009473,None,['u'],0,[0.11944480007514358],27.129236200009473,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
h,l,media/dhnb.png,3,6,30,7,,,,,,,27.273415399948135,None,27.273415399948135,None,['h'],0,[0.1347978999838233],27.273415399948135,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,3,7,31,3,,,,,,,27.440124199958518,None,27.440124199958518,None,['l'],0,[0.11253929999656975],27.440124199958518,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
f,u,media/dfnb.png,4,0,32,5,,,,,,,27.574144699960016,None,27.574144699960016,None,['i'],0,[0.018275500042364],27.574144699960016,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
a,h,media/danb.png,4,1,33,0,,,,,,,27.61986719991546,None,27.61986719991546,None,['u'],0,[0.02039560000412166],27.61986719991546,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
h,l,media/dhnb.png,4,2,34,7,,,,,,,27.67253099998925,None,27.67253099998925,None,['h'],0,[0.023748300038278103],27.67253099998925,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
c,i,media/dcnb.png,4,3,35,2,,,,,,,27.723672099993564,None,27.723672099993564,None,['i'],0,[0.10927310003899038],27.723672099993564,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,4,4,36,3,,,,,,,27.856348100001924,None,27.856348100001924,None,['u'],0,[0.07189589994959533],27.856348100001924,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
e,h,media/denb.png,4,5,37,4,,,,,,,27.95621169998776,None,27.95621169998776,None,['i'],0,[0.1486805999884382],27.95621169998776,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
g,i,media/dgnb.png,4,6,38,6,,,,,,,28.13319289998617,None,28.13319289998617,None,['u'],0,[0.011685999925248325],28.13319289998617,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
b,u,media/dbnb.png,4,7,39,1,,,,,,,28.1742668999359,None,28.1742668999359,None,['l'],0,[0.033782499958761036],28.1742668999359,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
f,u,media/dfnb.png,5,0,40,5,,,,,,,28.24358259991277,None,28.24358259991277,None,['u'],0,[0.10994799993932247],28.24358259991277,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
c,i,media/dcnb.png,5,1,41,2,,,,,,,28.382285499945283,None,28.382285499945283,None,['l'],0,[0.010153800016269088],28.382285499945283,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
e,h,media/denb.png,5,2,42,4,,,,,,,28.4239993999945,None,28.4239993999945,None,['h'],0,[0.040383500047028065],28.4239993999945,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
g,i,media/dgnb.png,5,3,43,6,,,,,,,28.490692899911664,None,28.490692899911664,None,['i'],0,[0.10157450009137392],28.490692899911664,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,5,4,44,3,,,,,,,28.62465869996231,None,28.62465869996231,None,['l'],0,[0.008310899953357875],28.62465869996231,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
b,u,media/dbnb.png,5,5,45,1,,,,,,,28.661232999991626,None,28.661232999991626,None,['h'],0,[0.05118070007301867],28.661232999991626,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
h,l,media/dhnb.png,5,6,46,7,,,,,,,28.741490199929103,None,28.741490199929103,None,['i'],0,[0.09094470005948097],28.741490199929103,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
a,h,media/danb.png,5,7,47,0,,,,,,,28.860957099939696,None,28.860957099939696,None,['l'],0,[0.011269899900071323],28.860957099939696,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
c,i,media/dcnb.png,6,0,48,2,,,,,,,28.903510999982245,None,28.903510999982245,None,['h'],0,[0.0406895000487566],28.903510999982245,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
d,l,media/ddnb.png,6,1,49,3,,,,,,,28.974902299931273,None,28.974902299931273,None,['i'],0,[0.08128699997905642],28.974902299931273,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
a,h,media/danb.png,6,2,50,0,,,,,,,29.091689000022598,None,29.091689000022598,None,['h'],0,[0.08432250004261732],29.091689000022598,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
h,l,media/dhnb.png,6,3,51,7,,,,,,,29.20814140001312,None,29.20814140001312,None,['i'],0,[0.09662729990668595],29.20814140001312,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
g,i,media/dgnb.png,6,4,52,6,,,,,,,29.331363099976443,None,29.331363099976443,None,['h'],0,[0.10153290000744164],29.331363099976443,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
e,h,media/denb.png,6,5,53,4,,,,,,,29.45884500001557,None,29.45884500001557,None,['i'],0,[0.09361660003196448],29.45884500001557,None,,001,2020_Jun_08_2137,Criterion,2020.1.3,60.18411524603435,
