Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.693857799982652,None,h,0.5406849998980761,7.693857799982652,None,,,,,,,,,,,,,,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
a,h,media/danb.png,0,0,0,0,,,,,,,8.318066300125793,None,8.318066300125793,None,['h'],0,[0.6046072000171989],8.318066300125793,None,8.965711400145665,None,8.965711400145665,None,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
d,l,media/ddnb.png,0,1,1,3,,,,,,,9.980276900110766,None,9.980276900110766,None,['i'],0,[0.606508299941197],9.980276900110766,None,10.62739110016264,None,10.62739110016264,None,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
b,u,media/dbnb.png,0,2,2,1,,,,,,,10.947394900023937,None,10.947394900023937,None,['l'],0,[0.5673724999651313],10.947394900023937,None,11.541455100057647,None,11.541455100057647,None,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
c,i,media/dcnb.png,0,3,3,2,,,,,,,11.856034400174394,None,11.856034400174394,None,['h'],0,[0.35524170007556677],11.856034400174394,None,12.247426400193945,None,12.247426400193945,None,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
h,l,media/dhnb.png,0,4,4,7,,,,,,,13.264138200087473,None,13.264138200087473,None,['u'],0,[0.5224947999231517],13.264138200087473,None,13.830423800041899,None,13.830423800041899,None,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
f,u,media/dfnb.png,0,5,5,5,,,,,,,14.12960740015842,None,14.12960740015842,None,['i'],0,[0.3868617999833077],14.12960740015842,None,14.564318499993533,None,14.564318499993533,None,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
e,h,media/denb.png,0,6,6,4,,,,,,,14.880684700096026,None,14.880684700096026,None,['l'],0,[0.3220760999247432],14.880684700096026,None,15.249989500036463,None,15.249989500036463,None,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
g,i,media/dgnb.png,0,7,7,6,,,,,,,15.571372900158167,None,15.571372900158167,None,['u'],0,[0.28740309993736446],15.571372900158167,None,15.892882200190797,None,15.892882200190797,None,,001,2020_Jun_09_1526,Criterion,2020.1.3,60.218291271536735,
