Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.782719200011343,None,h,0.47637579997535795,7.782719200011343,None,,,,,,,,,,,,,,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.31177569411652,
b,u,media/dbnb.png,0,0,0,1,,,,,,,8.318071600049734,None,8.318071600049734,None,['h'],0,[0.5494293000083417],8.318071600049734,None,8.911813599988818,None,8.911813599988818,None,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.31177569411652,
e,h,media/denb.png,0,1,1,4,,,,,,,9.228633200051263,None,9.228633200051263,None,['u'],0,[1.7999287000857294],9.228633200051263,None,11.062450600089505,None,11.062450600089505,None,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.31177569411652,
g,i,media/dgnb.png,0,2,2,6,,,,,,,11.376323300064541,None,11.376323300064541,None,['h'],0,[1.0107422000728548],11.376323300064541,None,12.422857400029898,None,12.422857400029898,None,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.31177569411652,
d,l,media/ddnb.png,0,3,3,3,,,,,,,12.728823699988425,None,12.728823699988425,None,['i'],0,[0.9949525999836624],12.728823699988425,None,13.762714800075628,None,13.762714800075628,None,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.31177569411652,
h,l,media/dhnb.png,0,4,4,7,,,,,,,14.08747350005433,None,14.08747350005433,None,['l'],0,[0.5717959998873994],14.08747350005433,None,14.683499100035988,None,14.683499100035988,None,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.31177569411652,
f,u,media/dfnb.png,0,5,5,5,,,,,,,15.012893500039354,None,15.012893500039354,None,['h'],0,[33.103159299935214],15.012893500039354,None,48.1455592000857,None,48.1455592000857,None,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.31177569411652,
