Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,6.100395599962212,None,h,0.3525650999508798,6.100395599962212,None,,,,,,,,,,,,,,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
c,i,media/dcnb.png,0,0,0,2,,,,,,,6.519284299924038,None,6.519284299924038,None,['h'],0,[0.4692061000969261],6.519284299924038,None,7.014200399979018,None,7.014200399979018,None,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
b,u,media/dbnb.png,0,1,1,1,,,,,,,8.044132399954833,None,8.044132399954833,None,['u'],0,[0.34405010007321835],8.044132399954833,None,8.429781699902378,None,8.429781699902378,None,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
a,h,media/danb.png,0,2,2,0,,,,,,,8.74058059998788,None,8.74058059998788,None,['h'],0,[1.4799083999823779],8.74058059998788,None,10.260995799908414,None,10.260995799908414,None,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
e,h,media/denb.png,0,3,3,4,,,,,,,11.263465699972585,None,11.263465699972585,None,['h'],0,[1.9648566000396386],11.263465699972585,None,13.249788299901411,None,13.249788299901411,None,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
f,u,media/dfnb.png,0,4,4,5,,,,,,,14.25812719995156,None,14.25812719995156,None,['u'],0,[5.082239800016396],14.25812719995156,None,19.36484479997307,None,19.36484479997307,None,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
h,l,media/dhnb.png,0,5,5,7,,,,,,,19.679099299944937,None,19.679099299944937,None,['i'],0,[1.253325100056827],19.679099299944937,None,20.966988899977878,None,20.966988899977878,None,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
d,l,media/ddnb.png,0,6,6,3,,,,,,,21.294193199952133,None,21.294193199952133,None,['h'],0,[3.894916900084354],21.294193199952133,None,25.223138200002722,None,25.223138200002722,None,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
g,i,media/dgnb.png,0,7,7,6,,,,,,,26.231553299934603,None,26.231553299934603,None,['l'],0,[0.8448037999914959],26.231553299934603,None,27.110576699953526,None,27.110576699953526,None,,001,2020_Jun_08_2230,Criterion,2020.1.3,59.949235006029596,
