Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,6.54855580010917,None,h,0.3611394999315962,6.54855580010917,None,,,,,,,,,,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
g,i,media/dgnb.png,0,0,0,6,,,,,,,6.963219900033437,None,6.963219900033437,None,['h'],0,[0.5061423999723047],6.963219900033437,None,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
c,i,media/dcnb.png,0,1,1,2,,,,,,,7.508483500103466,None,7.508483500103466,None,['u'],0,[0.496931100031361],7.508483500103466,None,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
e,h,media/denb.png,0,2,2,4,,,,,,,8.043864600011148,None,8.043864600011148,None,['i'],0,[0.5136418999172747],8.043864600011148,None,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
d,l,media/ddnb.png,0,3,3,3,,,,,,,8.593806000077166,None,8.593806000077166,None,['l'],0,[0.4356414000503719],8.593806000077166,None,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
h,l,media/dhnb.png,0,4,4,7,,,,,,,9.062313000089489,None,9.062313000089489,None,['h'],0,[0.4315968999871984],9.062313000089489,None,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
f,u,media/dfnb.png,0,5,5,5,,,,,,,9.526455700048245,None,9.526455700048245,None,['u'],0,[0.7430341999279335],9.526455700048245,None,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
b,u,media/dbnb.png,0,6,6,1,,,,,,,10.293899400043301,None,10.293899400043301,None,['i'],0,[0.5844552000053227],10.293899400043301,None,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
a,h,media/danb.png,0,7,7,0,,,,,,,10.92637320002541,None,10.92637320002541,None,['l'],0,[0.36738640000112355],10.92637320002541,None,,001,2020_Jun_08_2139,Criterion,2020.1.3,59.99811603084198,
