11.5415 	EXP 	feedback_circle: lineColor = '[1. 1. 1.] (rgb)'
11.5415 	EXP 	feedback_image: color = '[0.1 0.5 0.3] (rgb)'
11.5415 	EXP 	feedback_image: image = 'media/dbnb.png'
11.5415 	EXP 	feedback_circle: autoDraw = True
11.5415 	EXP 	feedback_image: autoDraw = True
11.8330 	EXP 	New trial (rep=0, index=3): OrderedDict([('Stim', 'c'), ('CorrResp', 'i'), ('imStim', 'media/dcnb.png')])
11.8560 	EXP 	feedback_circle: autoDraw = False
11.8560 	EXP 	feedback_image: autoDraw = False
11.8560 	EXP 	feedback_circle: autoDraw = False
11.8560 	EXP 	feedback_image: autoDraw = False
11.8560 	EXP 	stim_image: image = 'media/dcnb.png'
11.8560 	EXP 	circle_frame: autoDraw = True
11.8560 	EXP 	stim_image: autoDraw = True
12.2341 	DATA 	Keypress: h
12.2474 	EXP 	circle_frame: autoDraw = False
12.2474 	EXP 	stim_image: autoDraw = False
12.2474 	EXP 	feedback_circle: lineColor = '[1. 1. 1.] (rgb)'
12.2474 	EXP 	feedback_image: color = '[ 1. -1. -1.] (rgb)'
12.2474 	EXP 	feedback_image: image = 'media/dcnb.png'
12.2474 	EXP 	feedback_circle: autoDraw = True
12.2474 	EXP 	feedback_image: autoDraw = True
13.2425 	EXP 	New trial (rep=0, index=4): OrderedDict([('Stim', 'h'), ('CorrResp', 'l'), ('imStim', 'media/dhnb.png')])
13.2476 	DATA 	Keypress: u
13.2641 	EXP 	feedback_circle: autoDraw = False
13.2641 	EXP 	feedback_image: autoDraw = False
13.2641 	EXP 	feedback_circle: autoDraw = False
13.2641 	EXP 	feedback_image: autoDraw = False
13.2641 	EXP 	stim_image: image = 'media/dhnb.png'
13.2641 	EXP 	circle_frame: autoDraw = True
13.2641 	EXP 	stim_image: autoDraw = True
13.8172 	DATA 	Keypress: u
13.8304 	EXP 	circle_frame: autoDraw = False
13.8304 	EXP 	stim_image: autoDraw = False
13.8304 	EXP 	feedback_circle: lineColor = '[1. 1. 1.] (rgb)'
13.8304 	EXP 	feedback_image: color = '[0.1 0.5 0.3] (rgb)'
13.8304 	EXP 	feedback_image: image = 'media/dhnb.png'
13.8304 	EXP 	feedback_circle: autoDraw = True
13.8304 	EXP 	feedback_image: autoDraw = True
14.1151 	EXP 	New trial (rep=0, index=5): OrderedDict([('Stim', 'f'), ('CorrResp', 'u'), ('imStim', 'media/dfnb.png')])
14.1296 	EXP 	feedback_circle: autoDraw = False
14.1296 	EXP 	feedback_image: autoDraw = False
14.1296 	EXP 	feedback_circle: autoDraw = False
14.1296 	EXP 	feedback_image: autoDraw = False
14.1296 	EXP 	stim_image: image = 'media/dfnb.png'
14.1296 	EXP 	circle_frame: autoDraw = True
14.1296 	EXP 	stim_image: autoDraw = True
14.5234 	DATA 	Keypress: i
14.5643 	EXP 	circle_frame: autoDraw = False
14.5643 	EXP 	stim_image: autoDraw = False
14.5643 	EXP 	feedback_circle: lineColor = '[1. 1. 1.] (rgb)'
14.5643 	EXP 	feedback_image: color = '[0.1 0.5 0.3] (rgb)'
14.5643 	EXP 	feedback_image: image = 'media/dfnb.png'
14.5643 	EXP 	feedback_circle: autoDraw = True
14.5643 	EXP 	feedback_image: autoDraw = True
14.8609 	EXP 	New trial (rep=0, index=6): OrderedDict([('Stim', 'e'), ('CorrResp', 'h'), ('imStim', 'media/denb.png')])
14.8807 	EXP 	feedback_circle: autoDraw = False
14.8807 	EXP 	feedback_image: autoDraw = False
14.8807 	EXP 	feedback_circle: autoDraw = False
14.8807 	EXP 	feedback_image: autoDraw = False
14.8807 	EXP 	stim_image: image = 'media/denb.png'
14.8807 	EXP 	circle_frame: autoDraw = True
14.8807 	EXP 	stim_image: autoDraw = True
15.2050 	DATA 	Keypress: l
15.2500 	EXP 	circle_frame: autoDraw = False
15.2500 	EXP 	stim_image: autoDraw = False
15.2500 	EXP 	feedback_circle: lineColor = '[1. 1. 1.] (rgb)'
15.2500 	EXP 	feedback_image: color = '[0.1 0.5 0.3] (rgb)'
15.2500 	EXP 	feedback_image: image = 'media/denb.png'
15.2500 	EXP 	feedback_circle: autoDraw = True
15.2500 	EXP 	feedback_image: autoDraw = True
15.5484 	EXP 	New trial (rep=0, index=7): OrderedDict([('Stim', 'g'), ('CorrResp', 'i'), ('imStim', 'media/dgnb.png')])
15.5714 	EXP 	feedback_circle: autoDraw = False
15.5714 	EXP 	feedback_image: autoDraw = False
15.5714 	EXP 	feedback_circle: autoDraw = False
15.5714 	EXP 	feedback_image: autoDraw = False
15.5714 	EXP 	stim_image: image = 'media/dgnb.png'
15.5714 	EXP 	circle_frame: autoDraw = True
15.5714 	EXP 	stim_image: autoDraw = True
15.8740 	DATA 	Keypress: u
15.8929 	EXP 	circle_frame: autoDraw = False
15.8929 	EXP 	stim_image: autoDraw = False
15.8929 	EXP 	feedback_circle: lineColor = '[1. 1. 1.] (rgb)'
15.8929 	EXP 	feedback_image: color = '[0.1 0.5 0.3] (rgb)'
15.8929 	EXP 	feedback_image: image = 'media/dgnb.png'
15.8929 	EXP 	feedback_circle: autoDraw = True
15.8929 	EXP 	feedback_image: autoDraw = True
16.2089 	EXP 	feedback_circle: autoDraw = False
16.2089 	EXP 	feedback_image: autoDraw = False
16.2089 	EXP 	feedback_circle: autoDraw = False
16.2089 	EXP 	feedback_image: autoDraw = False
16.2886 	EXP 	window1: mouseVisible = True
