Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,10.90943750005681,None,h,0.41155379998963326,10.90943750005681,None,,,,,,,,,,,,,,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
g,i,media/dgnb.png,0,0,0,6,,,,,,,11.380665499949828,None,11.380665499949828,None,['h'],0,[0.3962830000091344],11.380665499949828,None,11.804943299968727,None,11.804943299968727,None,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
b,u,media/dbnb.png,0,1,1,1,,,,,,,12.818303199950606,None,12.818303199950606,None,['u'],0,[1.3675339999608696],12.818303199950606,None,14.21661690005567,None,14.21661690005567,None,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
f,u,media/dfnb.png,0,2,2,5,,,,,,,14.533047699951567,None,14.533047699951567,None,['i'],0,[0.34044159995391965],14.533047699951567,None,14.90770480001811,None,14.90770480001811,None,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
e,h,media/denb.png,0,3,3,4,,,,,,,15.222892499994487,None,15.222892499994487,None,['l'],0,[0.30617310001980513],15.222892499994487,None,15.564184300019406,None,15.564184300019406,None,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
d,l,media/ddnb.png,0,4,4,3,,,,,,,15.877448400016874,None,15.877448400016874,None,['h'],0,[0.34762129990849644],15.877448400016874,None,16.25587460002862,None,16.25587460002862,None,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
h,l,media/dhnb.png,0,5,5,7,,,,,,,17.2666035000002,None,17.2666035000002,None,['u'],0,[0.2941069999942556],17.2666035000002,None,17.582319500041194,None,17.582319500041194,None,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
a,h,media/danb.png,0,6,6,0,,,,,,,17.90158339997288,None,17.90158339997288,None,['i'],0,[0.28330360003747046],17.90158339997288,None,18.21616269997321,None,18.21616269997321,None,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
c,i,media/dcnb.png,0,7,7,2,,,,,,,18.525966300047003,None,18.525966300047003,None,['l'],0,[0.25953269994352013],18.525966300047003,None,18.822490700054914,None,18.822490700054914,None,,001,2020_Jun_09_1217,Criterion,2020.1.3,60.02224423141558,
