Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,11.036900699953549,None,h,0.4989992000628263,11.036900699953549,None,,,,,,,,,,,,,,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
h,l,media/dhnb.png,0,0,0,7,,,,,,,11.594913500011899,None,11.594913500011899,None,['h'],0,[2.036143400007859],11.594913500011899,None,13.675953999976628,None,13.675953999976628,None,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
c,i,media/dcnb.png,0,1,1,2,,,,,,,14.702786499983631,None,14.702786499983631,None,['u'],0,[1.0654100999236107],14.702786499983631,None,15.8047738999594,None,15.8047738999594,None,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
g,i,media/dgnb.png,0,2,2,6,,,,,,,16.13041909993626,None,16.13041909993626,None,['i'],0,[0.5098706000717357],16.13041909993626,None,16.671776399947703,None,16.671776399947703,None,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
f,u,media/dfnb.png,0,3,3,5,,,,,,,16.98830570001155,None,16.98830570001155,None,['l'],0,[0.6589504999574274],16.98830570001155,None,17.68170229997486,None,17.68170229997486,None,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
d,l,media/ddnb.png,0,4,4,3,,,,,,,18.004513799911365,None,18.004513799911365,None,['h'],0,[0.4506332000019029],18.004513799911365,None,18.497884699958377,None,18.497884699958377,None,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
b,u,media/dbnb.png,0,5,5,1,,,,,,,19.51533099997323,None,19.51533099997323,None,['u'],0,[0.564748500008136],19.51533099997323,None,20.118277499917895,None,20.118277499917895,None,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
e,h,media/denb.png,0,6,6,4,,,,,,,20.434306899900548,None,20.434306899900548,None,['i'],0,[0.4287532999878749],20.434306899900548,None,20.904612199985422,None,20.904612199985422,None,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
a,h,media/danb.png,0,7,7,0,,,,,,,21.23535269999411,None,21.23535269999411,None,['l'],0,[0.42790360003709793],21.23535269999411,None,21.70387829991523,None,21.70387829991523,None,001,001,2020_Jun_09_1214,Criterion,2020.1.3,60.289485996402874,
