Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,6.129723699996248,None,h,0.5388732000719756,6.129723699996248,None,,,,,,,,,,,,,,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
h,l,media/dhnb.png,0,0,0,7,,,,,,,6.739442500052974,None,6.739442500052974,None,['h'],0,[0.481027300003916],6.739442500052974,None,7.249630099977367,None,7.249630099977367,None,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
a,h,media/danb.png,0,1,1,0,,,,,,,7.564650199958123,None,7.564650199958123,None,['u'],0,[0.6801112999673933],7.564650199958123,None,8.27760340005625,None,8.27760340005625,None,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
d,l,media/ddnb.png,0,2,2,3,,,,,,,8.586697699967772,None,8.586697699967772,None,['u'],0,[0.7213330999948084],8.586697699967772,None,9.342700600042008,None,9.342700600042008,None,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
c,i,media/dcnb.png,0,3,3,2,,,,,,,9.661726200021803,None,9.661726200021803,None,['u'],0,[0.550048700068146],9.661726200021803,None,10.244669600040652,None,10.244669600040652,None,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
e,h,media/denb.png,0,4,4,4,,,,,,,10.559697599965148,None,10.559697599965148,None,['u'],0,[0.45256510004401207],10.559697599965148,None,11.040215500048362,None,11.040215500048362,None,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
f,u,media/dfnb.png,0,5,5,5,,,,,,,11.36037720006425,None,11.36037720006425,None,['u'],0,[0.3157027999404818],11.36037720006425,None,11.700085400021635,None,11.700085400021635,None,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
b,u,media/dbnb.png,0,6,6,1,,,,,,,12.011372899985872,None,12.011372899985872,None,['u'],0,[0.2736488999798894],12.011372899985872,None,12.317889000056311,None,12.317889000056311,None,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
g,i,media/dgnb.png,0,7,7,6,,,,,,,12.635320600005798,None,12.635320600005798,None,['u'],0,[0.19263879989739507],12.635320600005798,None,12.861600800068118,None,12.861600800068118,None,,001,2020_Jun_08_2227,Criterion,2020.1.3,60.001644043595135,
