Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,6.602043300052173,None,h,3.1673117999453098,6.602043300052173,None,,,,,,,,,,,,,,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.27916483250649,
a,h,media/danb.png,0,0,0,0,,,,,,,9.82221480004955,None,9.82221480004955,None,['h'],0,[0.6271213999716565],9.82221480004955,None,10.489837300032377,None,10.489837300032377,None,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.27916483250649,
d,l,media/ddnb.png,0,1,1,3,,,,,,,10.811066600028425,None,10.811066600028425,None,['i'],0,[7.98262990009971],10.811066600028425,None,18.827639000024647,None,18.827639000024647,None,,001,2020_Jun_08_2221,Criterion,2020.1.3,60.27916483250649,
