Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,6.051861900021322,None,h,0.4727504999609664,6.051861900021322,None,,,,,,,,,,,,,,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
h,l,media/dhnb.png,0,0,0,7,,,,,,,6.588012099964544,None,6.588012099964544,None,['h'],0,[0.5366034000180662],6.588012099964544,None,7.155530199990608,None,7.155530199990608,None,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
f,u,media/dfnb.png,0,1,1,5,,,,,,,8.16642599995248,None,8.16642599995248,None,['u'],0,[3.5500508999684826],8.16642599995248,None,11.75055799994152,None,11.75055799994152,None,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
d,l,media/ddnb.png,0,2,2,3,,,,,,,12.067020799964666,None,12.067020799964666,None,['h'],0,[2.0098739999812096],12.067020799964666,None,14.113690000027418,None,14.113690000027418,None,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
b,u,media/dbnb.png,0,3,3,1,,,,,,,15.1213486000197,None,15.1213486000197,None,['l'],0,[4.283228800049983],15.1213486000197,None,19.44038229994476,None,19.44038229994476,None,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
c,i,media/dcnb.png,0,4,4,2,,,,,,,19.753005199949257,None,19.753005199949257,None,['i'],0,[0.7314865000080317],19.753005199949257,None,20.516559400013648,None,20.516559400013648,None,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
g,i,media/dgnb.png,0,5,5,6,,,,,,,20.833968100021593,None,20.833968100021593,None,['u'],0,[1.0585041000740603],20.833968100021593,None,21.9350363999838,None,21.9350363999838,None,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
a,h,media/danb.png,0,6,6,0,,,,,,,22.25251469993964,None,22.25251469993964,None,['h'],0,[0.6169238000875339],22.25251469993964,None,22.898108499939553,None,22.898108499939553,None,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
e,h,media/denb.png,0,7,7,4,,,,,,,23.90230239997618,None,23.90230239997618,None,['i'],0,[0.7987432000227273],23.90230239997618,None,24.750017200014554,None,24.750017200014554,None,,001,2020_Jun_08_2228,Criterion,2020.1.3,60.116602153596325,
