Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,10.927200200036168,None,h,1.2615263999905437,10.927200200036168,None,,,,,,,,,,,,,,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
g,i,media/dgnb.png,0,0,0,6,,,,,,,12.402736899908632,None,12.402736899908632,None,['l'],0,[0.5851319001521915],12.402736899908632,None,13.015485199866816,None,13.015485199866816,None,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
e,h,media/denb.png,0,1,1,4,,,,,,,13.332043699920177,None,13.332043699920177,None,['i'],0,[0.3840860999189317],13.332043699920177,None,13.750088999979198,None,13.750088999979198,None,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
d,l,media/ddnb.png,0,2,2,3,,,,,,,14.075572999892756,None,14.075572999892756,None,['h'],0,[1.3763373999390751],14.075572999892756,None,15.486095999833196,None,15.486095999833196,None,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
c,i,media/dcnb.png,0,3,3,2,,,,,,,16.49973989999853,None,16.49973989999853,None,['u'],0,[0.47216230002231896],16.49973989999853,None,17.001274599926546,None,17.001274599926546,None,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
f,u,media/dfnb.png,0,4,4,5,,,,,,,17.3173890998587,None,17.3173890998587,None,['i'],0,[0.4065986000932753],17.3173890998587,None,17.75342749990523,None,17.75342749990523,None,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
a,h,media/danb.png,0,5,5,0,,,,,,,18.068209399934858,None,18.068209399934858,None,['l'],0,[0.3120659999549389],18.068209399934858,None,18.415465499972925,None,18.415465499972925,None,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
h,l,media/dhnb.png,0,6,6,7,,,,,,,18.72404280002229,None,18.72404280002229,None,['h'],0,[0.36009830003604293],18.72404280002229,None,19.115143599919975,None,19.115143599919975,None,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
b,u,media/dbnb.png,0,7,7,1,,,,,,,20.11930470005609,None,20.11930470005609,None,['u'],0,[0.3411461999639869],20.11930470005609,None,20.501175499986857,None,20.501175499986857,None,,001,2020_Jun_09_1520,Criterion,2020.1.3,60.04091183936646,
