Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,6.842863199999556,None,h,0.6395923000527546,6.842863199999556,None,,,,,,,,,,,,,,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
a,h,media/danb.png,0,0,0,0,,,,,,,7.536259299959056,None,7.536259299959056,None,['h'],0,[0.5621130999643356],7.536259299959056,None,8.135145999956876,None,8.135145999956876,None,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
d,l,media/ddnb.png,0,1,1,3,,,,,,,9.14224880002439,None,9.14224880002439,None,['u'],0,[0.740910500055179],9.14224880002439,None,9.91052060003858,None,9.91052060003858,None,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
b,u,media/dbnb.png,0,2,2,1,,,,,,,10.224505200050771,None,10.224505200050771,None,['i'],0,[0.9933466999791563],10.224505200050771,None,11.252738600014709,None,11.252738600014709,None,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
h,l,media/dhnb.png,0,3,3,7,,,,,,,11.554054299951531,None,11.554054299951531,None,['h'],0,[0.672544899978675],11.554054299951531,None,12.271752399974503,None,12.271752399974503,None,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
e,h,media/denb.png,0,4,4,4,,,,,,,13.281449800007977,None,13.281449800007977,None,['l'],0,[0.28046340006403625],13.281449800007977,None,13.605410399963148,None,13.605410399963148,None,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
f,u,media/dfnb.png,0,5,5,5,,,,,,,13.925593700027093,None,13.925593700027093,None,['i'],0,[0.4925691999960691],13.925593700027093,None,14.45476710004732,None,14.45476710004732,None,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
c,i,media/dcnb.png,0,6,6,2,,,,,,,14.76503660005983,None,14.76503660005983,None,['u'],0,[0.38097679999191314],14.76503660005983,None,15.182676500058733,None,15.182676500058733,None,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
g,i,media/dgnb.png,0,7,7,6,,,,,,,15.488017300027423,None,15.488017300027423,None,['h'],0,[0.9301026000175625],15.488017300027423,None,16.440302500035614,None,16.440302500035614,None,,001,2020_Jun_08_2316,Criterion,2020.1.3,60.17249045763336,
