Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,5.9981534000253305,None,h,0.4466766999103129,5.9981534000253305,None,,,,,,,,,,,,,,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
h,l,media/dhnb.png,0,0,0,7,,,,,,,6.517556400038302,None,6.517556400038302,None,['h'],0,[0.5272928000194952],6.517556400038302,None,7.080100900027901,None,7.080100900027901,None,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
a,h,media/danb.png,0,1,1,0,,,,,,,7.4031508000334725,None,7.4031508000334725,None,['l'],0,[0.8813048000447452],7.4031508000334725,None,8.313020000001416,None,8.313020000001416,None,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
c,i,media/dcnb.png,0,2,2,2,,,,,,,8.631215000059456,None,8.631215000059456,None,['u'],0,[1.3751037999754772],8.631215000059456,None,10.039171000011265,None,10.039171000011265,None,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
f,u,media/dfnb.png,0,3,3,5,,,,,,,10.357029600068927,None,10.357029600068927,None,['h'],0,[0.4552553999237716],10.357029600068927,None,10.848617700044997,None,10.848617700044997,None,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
e,h,media/denb.png,0,4,4,4,,,,,,,11.149500300060026,None,11.149500300060026,None,['h'],0,[0.3190243999706581],11.149500300060026,None,11.497986800037324,None,11.497986800037324,None,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
b,u,media/dbnb.png,0,5,5,1,,,,,,,11.798267500009388,None,11.798267500009388,None,['i'],0,[0.33447319990955293],11.798267500009388,None,12.17617940006312,None,12.17617940006312,None,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
g,i,media/dgnb.png,0,6,6,6,,,,,,,12.480585500015877,None,12.480585500015877,None,['l'],0,[0.2602205000584945],12.480585500015877,None,12.77505719999317,None,12.77505719999317,None,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
d,l,media/ddnb.png,0,7,7,3,,,,,,,13.096105100004934,None,13.096105100004934,None,['h'],0,[0.2365104000782594],13.096105100004934,None,13.364976500044577,None,13.364976500044577,None,,001,2020_Jun_08_2224,Criterion,2020.1.3,59.85776596659775,
