Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,6.504757400020026,None,h,0.43504390004090965,6.504757400020026,None,,,,,,,,,,,,,,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
g,i,media/dgnb.png,0,0,0,6,,,,,,,7.0020285999635234,None,7.0020285999635234,None,['h'],0,[0.5777902000118047],7.0020285999635234,None,7.619766099960543,None,7.619766099960543,None,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
a,h,media/danb.png,0,1,1,0,,,,,,,7.937817399972118,None,7.937817399972118,None,['h'],0,[4.082331100013107],7.937817399972118,None,12.062847399967723,None,12.062847399967723,None,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
c,i,media/dcnb.png,0,2,2,2,,,,,,,12.378429199918173,None,12.378429199918173,None,['u'],0,[0.761381300049834],12.378429199918173,None,13.180419999989681,None,13.180419999989681,None,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
h,l,media/dhnb.png,0,3,3,7,,,,,,,13.4813139999751,None,13.4813139999751,None,['i'],0,[0.41043539997190237],13.4813139999751,None,13.917642800020985,None,13.917642800020985,None,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
f,u,media/dfnb.png,0,4,4,5,,,,,,,14.233925599954091,None,14.233925599954091,None,['l'],0,[0.3379380999831483],14.233925599954091,None,14.612296300008893,None,14.612296300008893,None,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
b,u,media/dbnb.png,0,5,5,1,,,,,,,14.93405719997827,None,14.93405719997827,None,['h'],0,[0.35868379997555166],14.93405719997827,None,15.330214699963108,None,15.330214699963108,None,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
e,h,media/denb.png,0,6,6,4,,,,,,,15.646707099978812,None,15.646707099978812,None,['h'],0,[0.5410143999615684],15.646707099978812,None,16.229782599955797,None,16.229782599955797,None,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
d,l,media/ddnb.png,0,7,7,3,,,,,,,16.53091359999962,None,16.53091359999962,None,['h'],0,[0.8489682000363246],16.53091359999962,None,17.40214069990907,None,17.40214069990907,None,,001,2020_Jun_08_2219,Criterion,2020.1.3,60.032117203622946,
