Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,10.213636100059375,None,h,8.740984000032768,10.213636100059375,None,,,,,,,,,,,,,,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
h,l,media/dhnb.png,0,0,0,7,,,,,,,19.008319600019604,None,19.008319600019604,None,['h'],0,[0.6263663000427186],19.008319600019604,None,19.676377600058913,None,19.676377600058913,None,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
a,h,media/danb.png,0,1,1,0,,,,,,,20.681042999960482,None,20.681042999960482,None,['u'],0,[0.3540361999766901],20.681042999960482,None,21.065417899983004,None,21.065417899983004,None,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
b,u,media/dbnb.png,0,2,2,1,,,,,,,21.37843449995853,None,21.37843449995853,None,['i'],0,[0.736714500002563],21.37843449995853,None,22.147725900053047,None,22.147725900053047,None,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
g,i,media/dgnb.png,0,3,3,6,,,,,,,22.46017039997969,None,22.46017039997969,None,['l'],0,[0.41441850003320724],22.46017039997969,None,22.909493800019845,None,22.909493800019845,None,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
e,h,media/denb.png,0,4,4,4,,,,,,,23.213689199998043,None,23.213689199998043,None,['h'],0,[0.40500609995797276],23.213689199998043,None,23.66090759995859,None,23.66090759995859,None,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
f,u,media/dfnb.png,0,5,5,5,,,,,,,24.670947500038892,None,24.670947500038892,None,['u'],0,[0.33171639998909086],24.670947500038892,None,25.03837129997555,None,25.03837129997555,None,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
d,l,media/ddnb.png,0,6,6,3,,,,,,,25.36090339999646,None,25.36090339999646,None,['i'],0,[0.3696733999531716],25.36090339999646,None,25.76047199999448,None,25.76047199999448,None,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
c,i,media/dcnb.png,0,7,7,2,,,,,,,26.06769189995248,None,26.06769189995248,None,['l'],0,[0.38340880000032485],26.06769189995248,None,26.486412800033577,None,26.486412800033577,None,001,001,2020_Jun_09_1201,Criterion,2020.1.3,59.997288129865375,
