Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,11.695008700015023,None,h,0.3536881000036374,11.695008700015023,None,,,,,,,,,,,,,,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
d,l,media/ddnb.png,0,0,0,3,,,,,,,12.115551099996082,None,12.115551099996082,None,['u'],0,[0.8134793000062928],12.115551099996082,None,12.969123200047761,None,12.969123200047761,None,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
f,u,media/dfnb.png,0,1,1,5,,,,,,,13.288058000034653,None,13.288058000034653,None,['h'],0,[5.592489400063641],13.288058000034653,None,18.91909650003072,None,18.91909650003072,None,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
c,i,media/dcnb.png,0,2,2,2,,,,,,,19.253153900033794,None,19.253153900033794,None,['h'],0,[0.892196899978444],19.253153900033794,None,20.187054799986072,None,20.187054799986072,None,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
b,u,media/dbnb.png,0,3,3,1,,,,,,,20.516193500021473,None,20.516193500021473,None,['u'],0,[0.7883992999559268],20.516193500021473,None,21.34649280004669,None,21.34649280004669,None,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
e,h,media/denb.png,0,4,4,4,,,,,,,21.65305880003143,None,21.65305880003143,None,['i'],0,[0.37942729995120317],21.65305880003143,None,22.080099300015718,None,22.080099300015718,None,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
g,i,media/dgnb.png,0,5,5,6,,,,,,,22.402861700044014,None,22.402861700044014,None,['l'],0,[0.28596709994599223],22.402861700044014,None,22.736614600056782,None,22.736614600056782,None,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
h,l,media/dhnb.png,0,6,6,7,,,,,,,23.061203800025396,None,23.061203800025396,None,['h'],0,[0.29135209997184575],23.061203800025396,None,23.39864160004072,None,23.39864160004072,None,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
a,h,media/danb.png,0,7,7,0,,,,,,,23.733293500030413,None,23.733293500030413,None,['h'],0,[0.19527050002943724],23.733293500030413,None,23.970097100012936,None,23.970097100012936,None,,001,2020_Jun_08_2216,Criterion,2020.1.3,60.477408652147716,
