Stim,CorrResp,imStim,CR_trials.thisRepN,CR_trials.thisTrialN,CR_trials.thisN,CR_trials.thisIndex,Instr_CR_text.started,Instr_CR_text.stopped,Instr_CR_press.keys,Instr_CR_press.rt,Instr_CR_press.started,Instr_CR_press.stopped,circle_frame.started,circle_frame.stopped,stim_image.started,stim_image.stopped,CR_key_press.keys,CR_key_press.corr,CR_key_press.rt,CR_key_press.started,CR_key_press.stopped,feedback_circle.started,feedback_circle.stopped,feedback_image.started,feedback_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,24.34179310000036,None,h,0.7109023999655619,24.34179310000036,None,,,,,,,,,,,,,,,001,2020_Jun_09_1145,Criterion,2020.1.3,60.03323438604527,
d,l,media/ddnb.png,0,0,0,3,,,,,,,25.23835580004379,None,25.23835580004379,None,['h'],0,[0.526343600009568],25.23835580004379,None,25.797210900112987,None,25.797210900112987,None,,001,2020_Jun_09_1145,Criterion,2020.1.3,60.03323438604527,
e,h,media/denb.png,0,1,1,4,,,,,,,26.814627500018105,None,26.814627500018105,None,['u'],0,[0.4783220998942852],26.814627500018105,None,27.3144596000202,None,27.3144596000202,None,,001,2020_Jun_09_1145,Criterion,2020.1.3,60.03323438604527,
a,h,media/danb.png,0,2,2,0,,,,,,,27.62980640004389,None,27.62980640004389,None,['i'],0,[0.49510159995406866],27.62980640004389,None,28.14922150003258,None,28.14922150003258,None,,001,2020_Jun_09_1145,Criterion,2020.1.3,60.03323438604527,
f,u,media/dfnb.png,0,3,3,5,,,,,,,28.464420700096525,None,28.464420700096525,None,['l'],0,[0.3324457999551669],28.464420700096525,None,28.831318300100975,None,28.831318300100975,None,,001,2020_Jun_09_1145,Criterion,2020.1.3,60.03323438604527,
h,l,media/dhnb.png,0,4,4,7,,,,,,,29.148272900027223,None,29.148272900027223,None,['h'],0,[0.5606004999717698],29.148272900027223,None,29.73226440011058,None,29.73226440011058,None,,001,2020_Jun_09_1145,Criterion,2020.1.3,60.03323438604527,
g,i,media/dgnb.png,0,5,5,6,,,,,,,30.756009400007315,None,30.756009400007315,None,['u'],0,[0.5303945000050589],30.756009400007315,None,31.320712200016715,None,31.320712200016715,None,,001,2020_Jun_09_1145,Criterion,2020.1.3,60.03323438604527,
